from	to	type
TTR	MGP	Normal-specific
TTR	SEMA3A	Shared
TTR	PTPRO	Shared
TTR	BRINP3	Shared
TTR	CLVS2	Tumor-specific
TTR	CRYBG3	Shared
TTR	POU4F2	Tumor-specific
TTR	PCDHB16	Tumor-specific
TTR	HIST1H4L	Shared
TTR	ENPP2	Shared
TTR	RBFOX1	Shared
TTR	B4GALT6	Tumor-specific
TTR	CALN1	Shared
TTR	SCN3B	Shared
TTR	RGMB	Shared
TTR	CYP1B1	Normal-specific
TTR	MYRIP	Shared
TTR	SLC6A1	Tumor-specific
TTR	CASZ1	Tumor-specific
TTR	STMN2	Shared
TTR	SYNE1	Shared
TTR	ABAT	Tumor-specific
TTR	STXBP5L	Tumor-specific
MGP	CLVS2	Tumor-specific
MGP	CRYBG3	Shared
MGP	CXCL14	Tumor-specific
MGP	EGR1	Shared
MGP	HIST1H3B	Shared
MGP	ENPP2	Shared
MGP	B4GALT6	Shared
MGP	CYP1B1	Shared
MGP	CDH20	Shared
MGP	LDHB	Shared
MGP	KIF20A	Shared
MGP	ITPR1	Tumor-specific
MGP	F2R	Shared
MGP	SEMA3A	Normal-specific
SEMA3A	PTPRO	Shared
SEMA3A	BRINP3	Tumor-specific
SEMA3A	GABRG1	Tumor-specific
SEMA3A	CRYBG3	Shared
SEMA3A	CXCL14	Tumor-specific
SEMA3A	CD24	Shared
SEMA3A	HIST1H3I	Normal-specific
SEMA3A	PCDHB16	Shared
SEMA3A	HIST1H4D	Shared
SEMA3A	ENPP2	Shared
SEMA3A	RBFOX1	Shared
SEMA3A	B4GALT6	Tumor-specific
SEMA3A	CALN1	Normal-specific
SEMA3A	SCN3B	Shared
SEMA3A	RGMB	Shared
SEMA3A	CYP1B1	Shared
SEMA3A	MYRIP	Tumor-specific
SEMA3A	PCLAF	Shared
SEMA3A	NPY1R	Shared
SEMA3A	ELMO1	Shared
SEMA3A	ITPR1	Shared
SEMA3A	F2R	Shared
PTPRO	BRINP3	Shared
PTPRO	CLVS2	Shared
PTPRO	CD24	Shared
PTPRO	POU4F2	Shared
PTPRO	HIST1H3I	Shared
PTPRO	PCDHB16	Shared
PTPRO	HIST1H3B	Normal-specific
PTPRO	ENPP2	Tumor-specific
PTPRO	PTCHD1	Shared
PTPRO	LRRTM2	Shared
PTPRO	B4GALT6	Tumor-specific
PTPRO	CALN1	Shared
PTPRO	CDH20	Shared
PTPRO	MYRIP	Tumor-specific
PTPRO	LDHB	Shared
PTPRO	PCDHB6	Tumor-specific
PTPRO	CASZ1	Shared
PTPRO	F2R	Normal-specific
PTPRO	ABAT	Tumor-specific
BRINP3	GABRG1	Shared
GABRG1	CLVS2	Shared
GABRG1	CRYBG3	Shared
GABRG1	CD24	Shared
GABRG1	ENPP2	Shared
GABRG1	CALN1	Tumor-specific
GABRG1	CDH20	Normal-specific
GABRG1	DLG2	Shared
GABRG1	ABAT	Shared
BRINP3	CLVS2	Tumor-specific
CLVS2	CD24	Tumor-specific
CLVS2	CALN1	Shared
CLVS2	CASZ1	Shared
CLVS2	ABAT	Shared
CLVS2	CRYBG3	Shared
CRYBG3	B4GALT6	Shared
CRYBG3	CALN1	Normal-specific
CRYBG3	CASZ1	Shared
BRINP3	CXCL14	Shared
CRYBG3	CXCL14	Tumor-specific
CXCL14	B4GALT6	Tumor-specific
CXCL14	CALN1	Shared
MGP	SIX1	Tumor-specific
PTPRO	SIX1	Tumor-specific
BRINP3	SIX1	Shared
CLVS2	SIX1	Tumor-specific
SIX1	CD24	Tumor-specific
SIX1	PTCHD1	Shared
SIX1	RBFOX1	Shared
SIX1	LRRTM2	Tumor-specific
SIX1	LDHB	Shared
SIX1	PCLAF	Shared
BRINP3	CD24	Normal-specific
CD24	B4GALT6	Normal-specific
CD24	CALN1	Normal-specific
CD24	CASZ1	Tumor-specific
MGP	POU4F2	Tumor-specific
POU4F2	HIST1H3I	Shared
POU4F2	HIST1H3B	Shared
POU4F2	ENPP2	Tumor-specific
POU4F2	B4GALT6	Tumor-specific
POU4F2	PCLAF	Shared
POU4F2	ABAT	Shared
GABRG1	HIST1H3I	Normal-specific
CRYBG3	HIST1H3I	Normal-specific
HIST1H3I	EGR1	Shared
HIST1H3I	HIST1H3B	Shared
HIST1H3I	CDH20	Normal-specific
HIST1H3I	HIST1H1B	Shared
HIST1H3I	F2R	Shared
HIST1H3I	ABAT	Normal-specific
PCDHB16	HIST1H4L	Normal-specific
PCDHB16	CALN1	Shared
PCDHB16	MYRIP	Tumor-specific
GABRG1	HIST1H4D	Shared
CD24	HIST1H4D	Shared
HIST1H4D	B4GALT6	Shared
HIST1H4D	CALN1	Shared
HIST1H4D	CDH20	Shared
EGR1	CDH20	Shared
BRINP3	PDE4DIP	Shared
GABRG1	PDE4DIP	Shared
CLVS2	PDE4DIP	Shared
PDE4DIP	HIST1H3B	Shared
PDE4DIP	HIST1H4L	Shared
PDE4DIP	LRRTM2	Shared
PDE4DIP	HIST1H1B	Shared
PDE4DIP	DLG2	Shared
PDE4DIP	KIF20A	Shared
PDE4DIP	ABAT	Shared
MGP	ZIC1	Shared
PTPRO	ZIC1	Shared
PDE4DIP	ZIC1	Shared
ZIC1	ENPP2	Shared
ZIC1	RGMB	Shared
ZIC1	SLC6A1	Shared
ZIC1	LDHB	Shared
ZIC1	SLC1A6	Shared
ZIC1	SLC7A14	Tumor-specific
ZIC1	STXBP5L	Shared
GABRG1	HIST1H3B	Shared
CRYBG3	HIST1H3B	Shared
CD24	HIST1H3B	Shared
HIST1H3B	B4GALT6	Shared
HIST1H3B	HIST1H1B	Shared
HIST1H3B	F2R	Shared
BRINP3	HIST1H4L	Shared
GABRG1	HIST1H4L	Tumor-specific
CLVS2	HIST1H4L	Shared
HIST1H3I	HIST1H4L	Shared
HIST1H4D	HIST1H4L	Shared
HIST1H3B	HIST1H4L	Shared
HIST1H4L	HIST1H1B	Shared
HIST1H4L	F2R	Normal-specific
CLVS2	ENPP2	Tumor-specific
CXCL14	ENPP2	Shared
CD24	ENPP2	Shared
ENPP2	CDH20	Shared
BRINP3	PTCHD1	Shared
CRYBG3	PTCHD1	Normal-specific
CD24	PTCHD1	Shared
HIST1H3I	PTCHD1	Shared
PDE4DIP	PTCHD1	Shared
PTCHD1	CALN1	Shared
PTCHD1	CASZ1	Shared
PTCHD1	ELMO1	Shared
PTCHD1	ITPR1	Shared
BRINP3	RBFOX1	Tumor-specific
CRYBG3	RBFOX1	Shared
CXCL14	RBFOX1	Tumor-specific
HIST1H3I	RBFOX1	Normal-specific
RBFOX1	B4GALT6	Shared
RBFOX1	RASGRF1	Shared
RBFOX1	KIF20A	Shared
GABRG1	LRRTM2	Shared
CD24	LRRTM2	Normal-specific
HIST1H3I	LRRTM2	Normal-specific
ENPP2	LRRTM2	Shared
B4GALT6	ABAT	Shared
CALN1	ABAT	Tumor-specific
MGP	SCN3B	Tumor-specific
PTPRO	SCN3B	Shared
BRINP3	SCN3B	Shared
CXCL14	SCN3B	Shared
CD24	SCN3B	Shared
HIST1H3I	SCN3B	Normal-specific
HIST1H4D	SCN3B	Shared
PDE4DIP	SCN3B	Shared
HIST1H3B	SCN3B	Normal-specific
LRRTM2	SCN3B	Shared
SCN3B	MYRIP	Tumor-specific
SCN3B	DLG2	Shared
SCN3B	NPY1R	Shared
SCN3B	KIF20A	Tumor-specific
PTPRO	RGMB	Normal-specific
BRINP3	RGMB	Shared
CLVS2	RGMB	Tumor-specific
CD24	RGMB	Shared
HIST1H3I	RGMB	Shared
HIST1H4L	RGMB	Shared
ENPP2	RGMB	Tumor-specific
RGMB	CASZ1	Shared
RGMB	NPY1R	Shared
RGMB	F2R	Shared
RGMB	ABAT	Shared
CLVS2	CYP1B1	Tumor-specific
MGP	RASGRF1	Shared
CRYBG3	RASGRF1	Shared
CXCL14	RASGRF1	Tumor-specific
PDE4DIP	RASGRF1	Shared
HIST1H3B	RASGRF1	Shared
PTCHD1	RASGRF1	Shared
B4GALT6	RASGRF1	Shared
CALN1	RASGRF1	Shared
RASGRF1	CDH20	Shared
RASGRF1	HIST1H1B	Shared
RASGRF1	MYRIP	Shared
RASGRF1	CASZ1	Shared
RASGRF1	DLG2	Shared
RASGRF1	KIF20A	Shared
RASGRF1	F2R	Shared
BRINP3	CDH20	Shared
CDH20	ABAT	Shared
HIST1H1B	DLG2	Shared
MGP	MYRIP	Tumor-specific
HIST1H3B	MYRIP	Shared
HIST1H4L	MYRIP	Normal-specific
B4GALT6	MYRIP	Shared
MYRIP	LDHB	Shared
SEMA3A	SLC6A1	Shared
BRINP3	SLC6A1	Shared
GABRG1	SLC6A1	Shared
PDE4DIP	SLC6A1	Shared
LRRTM2	SLC6A1	Shared
CALN1	SLC6A1	Shared
RASGRF1	SLC6A1	Shared
SLC6A1	PCLAF	Shared
SLC6A1	SLC1A6	Shared
SLC6A1	DLG2	Shared
SLC6A1	KIF20A	Shared
SLC6A1	ELMO1	Shared
SLC6A1	ITPR1	Shared
SLC6A1	ABAT	Shared
GABRG1	LDHB	Shared
CXCL14	LDHB	Tumor-specific
B4GALT6	LDHB	Shared
CALN1	LDHB	Shared
LDHB	ITPR1	Shared
MGP	PCDHB6	Tumor-specific
PCDHB16	PCDHB6	Shared
HIST1H4D	PCDHB6	Shared
HIST1H4L	PCDHB6	Shared
CALN1	PCDHB6	Shared
MYRIP	PCDHB6	Shared
LDHB	PCDHB6	Shared
MGP	PCLAF	Shared
BRINP3	PCLAF	Shared
GABRG1	PCLAF	Shared
CXCL14	PCLAF	Shared
CD24	PCLAF	Shared
HIST1H3B	PCLAF	Shared
CALN1	PCLAF	Shared
HIST1H1B	PCLAF	Shared
PCLAF	KIF20A	Shared
PCLAF	ITPR1	Shared
PCLAF	ABAT	Shared
MGP	SLC1A6	Shared
PTPRO	SLC1A6	Shared
BRINP3	SLC1A6	Normal-specific
SIX1	SLC1A6	Tumor-specific
HIST1H3I	SLC1A6	Normal-specific
HIST1H4D	SLC1A6	Shared
PDE4DIP	SLC1A6	Shared
HIST1H4L	SLC1A6	Normal-specific
LRRTM2	SLC1A6	Shared
SCN3B	SLC1A6	Shared
RGMB	SLC1A6	Shared
SLC1A6	DLG2	Shared
SLC1A6	ITPR1	Shared
SLC1A6	ABAT	Shared
PTPRO	STMN2	Tumor-specific
CLVS2	STMN2	Tumor-specific
CD24	STMN2	Shared
POU4F2	STMN2	Shared
HIST1H3I	STMN2	Shared
HIST1H3B	STMN2	Shared
HIST1H4L	STMN2	Shared
RBFOX1	STMN2	Tumor-specific
SCN3B	STMN2	Shared
RGMB	STMN2	Shared
CYP1B1	STMN2	Shared
CASZ1	STMN2	Tumor-specific
STMN2	DLG2	Shared
STMN2	NPY1R	Shared
STMN2	SLC7A14	Tumor-specific
MGP	SYNE1	Shared
PTPRO	SYNE1	Tumor-specific
BRINP3	SYNE1	Shared
HIST1H3I	SYNE1	Shared
PDE4DIP	SYNE1	Shared
HIST1H4L	SYNE1	Normal-specific
PTCHD1	SYNE1	Shared
CALN1	SYNE1	Shared
RASGRF1	SYNE1	Shared
HIST1H1B	SYNE1	Shared
MYRIP	SYNE1	Shared
SYNE1	DLG2	Shared
SYNE1	KIF20A	Shared
SYNE1	F2R	Shared
SYNE1	STXBP5L	Shared
BRINP3	DLG2	Normal-specific
CLVS2	DLG2	Shared
CXCL14	DLG2	Tumor-specific
CASZ1	DLG2	Shared
DLG2	ABAT	Shared
CLVS2	NPY1R	Tumor-specific
CD24	NPY1R	Shared
HIST1H3I	NPY1R	Normal-specific
HIST1H4D	NPY1R	Shared
CYP1B1	NPY1R	Shared
BRINP3	SLC7A14	Shared
CXCL14	SLC7A14	Tumor-specific
POU4F2	SLC7A14	Tumor-specific
HIST1H3I	SLC7A14	Shared
HIST1H4L	SLC7A14	Shared
RBFOX1	SLC7A14	Shared
B4GALT6	SLC7A14	Shared
SCN3B	SLC7A14	Tumor-specific
RGMB	SLC7A14	Shared
RASGRF1	SLC7A14	Shared
MYRIP	SLC7A14	Shared
LDHB	SLC7A14	Tumor-specific
PCDHB6	SLC7A14	Shared
SLC7A14	F2R	Shared
GABRG1	KIF20A	Shared
HIST1H3B	KIF20A	Shared
HIST1H4L	KIF20A	Shared
HIST1H1B	KIF20A	Shared
DLG2	KIF20A	Shared
KIF20A	F2R	Shared
BRINP3	ELMO1	Shared
BRINP3	ITPR1	Normal-specific
GABRG1	ITPR1	Shared
CD24	ITPR1	Shared
ENPP2	ITPR1	Shared
CALN1	ITPR1	Shared
DLG2	ITPR1	Shared
ELMO1	ITPR1	Shared
ITPR1	ABAT	Shared
CD24	F2R	Shared
B4GALT6	F2R	Shared
CYP1B1	F2R	Shared
F2R	ABAT	Shared
SEMA3A	STXBP5L	Shared
PTPRO	STXBP5L	Shared
CLVS2	STXBP5L	Shared
HIST1H3I	STXBP5L	Shared
PDE4DIP	STXBP5L	Shared
HIST1H3B	STXBP5L	Shared
HIST1H4L	STXBP5L	Shared
RBFOX1	STXBP5L	Shared
CALN1	STXBP5L	Shared
RASGRF1	STXBP5L	Shared
DLG2	STXBP5L	Shared
SLC7A14	STXBP5L	Shared
F2R	STXBP5L	Normal-specific
